"";"AIC";"BIC";"time";"rho";"knn";"obsSample";"minInterval";"moran"
"1503";80,9858837931381;117,267374825166;0,276993036270142;0,761852055988624;19;200;3001;0,312460557009074
"1504";76,4290004874554;112,710491519484;0,267159223556519;0,772296074839017;20;200;3001;0,308019531275781
"1505";80,5767322316102;116,858223263639;0,290966033935547;0,764696790091212;21;200;3001;0,302717963138022
"1506";85,6691218425208;121,950612874549;0,288784980773926;0,749185230206117;22;200;3001;0,300058483662086
"1507";93,0926950956924;129,374186127721;0,280927896499634;0,730908293012092;23;200;3001;0,293663737236563
"1508";103,329009771843;139,610500803872;0,279453992843628;0,661651362981749;24;200;3001;0,29016444804293
"1509";117,806022514494;154,087513546523;0,298676013946533;0,686741929249873;25;200;3001;0,2891313321082
"1510";130,345304162974;166,626795195003;0,290798902511597;0,61705736383441;26;200;3001;0,281173212109747
"1511";142,444383431931;178,725874463959;0,291829109191895;0,646292526502748;27;200;3001;0,271641707893994
"1512";151,411732156754;187,693223188782;0,291479825973511;0,642923532652986;28;200;3001;0,268266635164417
"1513";162,705095298632;198,98658633066;0,2968430519104;0,673972135332897;29;200;3001;0,259081514304021
"1514";169,534948035852;205,81643906788;0,29421591758728;0,629161554096886;30;200;3001;0,25690696479504
"1515";179,965728655825;216,247219687853;0,308305978775024;0,636345314141333;31;200;3001;0,249998364171803
"1516";187,662472088452;223,943963120481;0,293268203735352;0,622373501874927;32;200;3001;0,244136411041315
"1517";192,04195733654;228,323448368568;0,300207138061523;0,612147617177096;33;200;3001;0,240315358030396
"1518";194,69231658024;230,973807612269;0,295392036437988;0,508046575727512;34;200;3001;0,235354292622768
"1519";199,875427295746;236,156918327774;0,296292066574097;0,442809280686651;35;200;3001;0,229415404179973
"1520";206,210992850726;242,492483882755;0,294708013534546;0,431887375315628;36;200;3001;0,220301489238696
"1521";211,021797823224;247,303288855253;0,298160076141357;0,374272710105561;37;200;3001;0,215449149644709
"1522";215,279012955168;251,560503987196;0,307425022125244;0,227172646032722;38;200;3001;0,208375595365128
"1523";216,757289087779;253,038780119807;0,32881498336792;0,168568464390243;39;200;3001;0,202357113804092
"1524";227,98843974325;264,269930775279;0,310034990310669;0,293295597892329;40;200;3001;0,194144632960246
"1525";234,770250531142;271,051741563171;0,307081937789917;0,231656701517938;41;200;3001;0,186795812017049
"1526";237,036091336246;273,317582368274;0,310688972473145;0,167199459179795;42;200;3001;0,176694919307312
"1527";242,491972489594;278,773463521622;0,383684873580933;0,0648757271249854;43;200;3001;0,168253704610795
"1528";250,261371470342;286,54286250237;0,329122066497803;0,0481998658760284;44;200;3001;0,159592834108039
"1529";254,725827006467;291,007318038495;0,364287137985229;0,0657105194160486;45;200;3001;0,150755458434078
"1530";259,747799630714;296,029290662743;0,302555084228516;0,1185997044312;46;200;3001;0,144734736863087
"1531";264,106101012926;300,387592044954;0,321044921875;0,053695069136863;47;200;3001;0,137854014857471
